id,iso_a3,Country,2010,2011,2012,2013,2014,2015,Volume,14_15_Variation,Ranking
1,USA,United States,315618,312789,273192,351316,361136,345506,4640,10%,1
2,CHN,China,190752,211316,229559,248453,249764,264992,569,1%,2
3,BRA,Brazil,35353,33397,31123,45308,38211,36600,-1611,-4%,3
4,IND,India,20887,19140,21650,23590,22020,22140,120,1%,4
5,ARG,Argentina,16250,15473,11778,14984,15197,13358,-1839,-12%,5
6,UKR,Ukraine,8844,10464,12554,12820,10500,12870,2370,23%,6
7,MEX,Mexico,11420,11180,12259,12310,12020,12000,-20,0%,7
8,IND,Indonesia,9327,9725,10569,10982,11316,11310,-6,0%,8
9,FRA,France,13000,13200,13511,11780,11178,11178,0,0%,9
10,ZAF,South Africa,6906,9132,9012,8409,9202,8788,-414,-4%,10
